station,date,tmax,tmin,ppt
aceabsar,2021-08-11,32.02,13.39,0
aceabsar,2021-08-12,31.66,10.37,0
aceabsar,2021-08-13,28.76,9.16,0
aceabsar,2021-08-14,34.09,12.18,0
aceabsar,2021-08-15,33.71,16.72,0
aceabsar,2021-08-16,35.33,18.67,0
aceabsar,2021-08-25,22.05,5.98,0
aceabsar,2021-11-16,16.54,0.632,0
aceabsar,2021-11-17,2.66,-7.23,0
aceabsar,2021-11-18,9.96,-10.77,0
aceabsar,2021-11-19,11.8,3.87,0
aceabsar,2021-11-20,9.72,0.056,0
aceabsar,2021-11-21,11.13,-4.425,0
aceabsar,2021-11-22,15.65,3.66,0
aceabsar,2021-11-23,12.81,0,0
aceabsar,2021-11-24,5.269,-7.93,0
aceabsar,2021-11-25,10.78,-8.46,0
aceabsar,2021-11-26,14.22,7.762,0
aceabsar,2021-11-27,10.81,3.394,0
aceabsar,2021-11-28,16.9,1.001,0
aceabsar,2021-11-29,15.4,5.213,0
aceabsar,2021-11-30,11.35,-0.615,2.75
aceabsar,2021-12-01,16.22,9.98,0
aceabsar,2021-12-02,17.74,13.53,0
aceabsar,2021-12-03,14.02,-0.29,0
aceabsar,2021-12-04,13.27,-4.494,0
aceabsar,2021-12-05,12.68,-7.716,8.75
aceabsar,2021-12-06,1.664,-14.65,0.78
aceabsar,2021-12-07,6.023,-10.89,5.38
aceabsar,2021-12-08,7.274,-0.064,0
aceabsar,2021-12-09,5.762,-4.517,0
aceabsar,2021-12-10,-2.105,-9.78,0
aceabsar,2021-12-11,2.186,-9.47,0
aceabsar,2021-12-12,5.232,0.802,0
aceabsar,2021-12-13,6.04,-1.248,0
aceabsar,2021-12-14,10.48,-2.163,0
aceabsar,2021-12-15,7.328,-6.448,0.77
aceabsar,2021-12-16,-4.111,-13.66,0
aceabsar,2021-12-17,-1.663,-15.9,0
aceabsar,2021-12-18,2.961,-17.87,0
aceabsar,2021-12-19,6.049,1.664,0
aceabsar,2021-12-20,4.454,-11.73,0.47000000000000003
aceabsar,2021-12-21,9.06,0.757,0
aceabsar,2021-12-22,8.91,3.614,0
aceabsar,2021-12-23,8.84,3.068,0
aceabsar,2021-12-24,6.298,-5.162,6.67
aceabsar,2021-12-25,-4.921,-14.15,0
aceabsar,2021-12-26,-9.51,-18.46,0.4
aceabsar,2021-12-27,-16.84,-22.75,0
aceabsar,2021-12-28,-9.67,-19.57,0
aceabsar,2021-12-29,-8.35,-19.1,0
aceabsar,2021-12-30,-2.7,-21.68,0
aceabsar,2021-12-31,-4.687,-20.58,0
aceabsar,2022-01-01,-15.1,-28.26,0
aceabsar,2022-01-02,0.662,-17.81,0
aceabsar,2022-01-03,6.235,-2.93,0
aceabsar,2022-01-04,5.34,-14.35,0.21
aceabsar,2022-01-05,-14.31,-23.6,0.75
aceabsar,2022-01-06,-15.42,-22.61,4.46
aceabsar,2022-01-07,8.05,-15.32,0
aceabsar,2022-01-08,5.045,-3.434,0
aceabsar,2022-01-09,6.145,-8.35,0
aceabsar,2022-01-10,11.12,-6.849,0
aceabsar,2022-01-11,8.9,-1.499,0
aceabsar,2022-01-12,11.62,3.53,0
aceabsar,2022-01-13,11.76,4.154,0
aceabsar,2022-01-14,7.954,-0.822,0
aceabsar,2022-01-15,8.4,-5.668,0
aceabsar,2022-01-16,8.46,1.525,0
aceabsar,2022-01-17,13.91,-0.794,0
aceabsar,2022-01-18,10.64,-8.5,0.14
aceabsar,2022-01-19,-8.92,-16.95,1.79
aceabsar,2022-01-20,3.879,-18.5,0
aceabsar,2022-01-21,4.759,-0.42,0.15
aceabsar,2022-01-22,7.787,-4.512,0
aceabsar,2022-01-23,11.74,1.068,0
aceabsar,2022-01-24,10.01,-5.449,0
aceabsar,2022-01-25,1.987,-5.789,0
aceabsar,2022-01-26,5.696,-6.451,0
aceabsar,2022-01-27,2.842,-8.51,0.45
aceabsar,2022-01-28,10.37,-6.738,0
aceabsar,2022-01-29,12.26,-1.347,0
aceabsar,2022-01-30,10.84,-0.919,0
aceabsar,2022-01-31,8.73,-1.342,0
aceabsar,2022-02-01,-0.703,-12.05,1.31
aceabsar,2022-02-02,-10.52,-24.47,0.13999999999999999
aceabsar,2022-02-03,-1.33,-24.96,0
