station,date,product,element,value
aceabsar,2021-04-01,gridmet,ppt,0
aceabsar,2021-04-02,gridmet,ppt,0
aceabsar,2021-04-03,gridmet,ppt,0
aceabsar,2021-04-04,gridmet,ppt,0
aceabsar,2021-04-05,gridmet,ppt,3.5999999
aceabsar,2021-04-06,gridmet,ppt,7.1999998
aceabsar,2021-04-07,gridmet,ppt,0
aceabsar,2021-04-08,gridmet,ppt,4.0999999
aceabsar,2021-04-09,gridmet,ppt,0
aceabsar,2021-04-10,gridmet,ppt,2
aceabsar,2021-04-11,gridmet,ppt,1.3
aceabsar,2021-04-12,gridmet,ppt,0.9
aceabsar,2021-04-13,gridmet,ppt,0
aceabsar,2021-04-14,gridmet,ppt,0.5
aceabsar,2021-04-15,gridmet,ppt,2.7
aceabsar,2021-04-16,gridmet,ppt,0.5
aceabsar,2021-04-17,gridmet,ppt,0
aceabsar,2021-04-18,gridmet,ppt,9.5
aceabsar,2021-04-19,gridmet,ppt,1.1
aceabsar,2021-04-20,gridmet,ppt,0
aceabsar,2021-04-21,gridmet,ppt,0
aceabsar,2021-04-22,gridmet,ppt,5.9000001
aceabsar,2021-04-23,gridmet,ppt,0
aceabsar,2021-04-24,gridmet,ppt,1.3
aceabsar,2021-04-25,gridmet,ppt,1.8
aceabsar,2021-04-26,gridmet,ppt,0.4
aceabsar,2021-04-27,gridmet,ppt,0
aceabsar,2021-04-28,gridmet,ppt,0
aceabsar,2021-04-29,gridmet,ppt,0
aceabsar,2021-04-30,gridmet,ppt,0
acebozem,2021-04-01,gridmet,ppt,0
acebozem,2021-04-02,gridmet,ppt,0
acebozem,2021-04-03,gridmet,ppt,0
acebozem,2021-04-04,gridmet,ppt,0
acebozem,2021-04-05,gridmet,ppt,8.6999998
acebozem,2021-04-06,gridmet,ppt,3.5999999
acebozem,2021-04-07,gridmet,ppt,0
acebozem,2021-04-08,gridmet,ppt,3.5
acebozem,2021-04-09,gridmet,ppt,0
acebozem,2021-04-10,gridmet,ppt,3
acebozem,2021-04-11,gridmet,ppt,0
acebozem,2021-04-12,gridmet,ppt,0
acebozem,2021-04-13,gridmet,ppt,0
acebozem,2021-04-14,gridmet,ppt,0
acebozem,2021-04-15,gridmet,ppt,0
acebozem,2021-04-16,gridmet,ppt,0
acebozem,2021-04-17,gridmet,ppt,0
acebozem,2021-04-18,gridmet,ppt,1.7
acebozem,2021-04-19,gridmet,ppt,0
acebozem,2021-04-20,gridmet,ppt,0
acebozem,2021-04-21,gridmet,ppt,0
acebozem,2021-04-22,gridmet,ppt,2.9000001
acebozem,2021-04-23,gridmet,ppt,0
acebozem,2021-04-24,gridmet,ppt,2.5
acebozem,2021-04-25,gridmet,ppt,13.8999996
acebozem,2021-04-26,gridmet,ppt,0
acebozem,2021-04-27,gridmet,ppt,0
acebozem,2021-04-28,gridmet,ppt,0
acebozem,2021-04-29,gridmet,ppt,0
acebozem,2021-04-30,gridmet,ppt,0
acebroad,2021-04-01,gridmet,ppt,0
acebroad,2021-04-02,gridmet,ppt,0
acebroad,2021-04-03,gridmet,ppt,0
acebroad,2021-04-04,gridmet,ppt,0
acebroad,2021-04-05,gridmet,ppt,0
acebroad,2021-04-06,gridmet,ppt,0.9
acebroad,2021-04-07,gridmet,ppt,0
acebroad,2021-04-08,gridmet,ppt,2.0999999
acebroad,2021-04-09,gridmet,ppt,0
acebroad,2021-04-10,gridmet,ppt,0.4
acebroad,2021-04-11,gridmet,ppt,0
acebroad,2021-04-12,gridmet,ppt,0.5
acebroad,2021-04-13,gridmet,ppt,1.1
acebroad,2021-04-14,gridmet,ppt,0.5
acebroad,2021-04-15,gridmet,ppt,0.3
acebroad,2021-04-16,gridmet,ppt,0
acebroad,2021-04-17,gridmet,ppt,0
acebroad,2021-04-18,gridmet,ppt,8.8999996
acebroad,2021-04-19,gridmet,ppt,1
acebroad,2021-04-20,gridmet,ppt,0
acebroad,2021-04-21,gridmet,ppt,0
acebroad,2021-04-22,gridmet,ppt,3.9000001
acebroad,2021-04-23,gridmet,ppt,0
acebroad,2021-04-24,gridmet,ppt,1.5
acebroad,2021-04-25,gridmet,ppt,4.8000002
acebroad,2021-04-26,gridmet,ppt,0
acebroad,2021-04-27,gridmet,ppt,0
acebroad,2021-04-28,gridmet,ppt,0
acebroad,2021-04-29,gridmet,ppt,0
acebroad,2021-04-30,gridmet,ppt,0
acecrowa,2021-04-01,gridmet,ppt,0
acecrowa,2021-04-02,gridmet,ppt,0
acecrowa,2021-04-03,gridmet,ppt,0
acecrowa,2021-04-04,gridmet,ppt,0
acecrowa,2021-04-05,gridmet,ppt,1.6
acecrowa,2021-04-06,gridmet,ppt,7
acecrowa,2021-04-07,gridmet,ppt,0
acecrowa,2021-04-08,gridmet,ppt,3.5999999
acecrowa,2021-04-09,gridmet,ppt,0
acecrowa,2021-04-10,gridmet,ppt,1.3
acecrowa,2021-04-11,gridmet,ppt,0.3
acecrowa,2021-04-12,gridmet,ppt,0
acecrowa,2021-04-13,gridmet,ppt,0
acecrowa,2021-04-14,gridmet,ppt,0
acecrowa,2021-04-15,gridmet,ppt,1
acecrowa,2021-04-16,gridmet,ppt,0
